ID_Accidente;A�o;Fecha;Dia;Hopra;Ruta/Autop;km;Participantes;Tipo;Lugar;Total;Heridos Leves;Heridos Graves;Ilesos;Fallecidos;Sin datos;desc_tipo_via;desc_loc;desc_dpto;|;desc_tipo_banquina;desc_unidad_regional;desc_lugar_calzada;desc_zona;desc_prioridad;desc_estado_semaforo;desc_lugar_via;desc_estado_via;desc_estado_visibilidad;desc_luminosidad;desc_estado_clima;desc_tipo_colision;desc_tipo_atropello;desc_tipo_hecho;desc_pres_calzada;desc_senializacion
1;2021;1/1/2021;Viernes;17:15:00;;0.0;2;Automóvil,Pickup/Utilitario;Av. Francia Y Dr. Rivas;2;1;0;1;0;0;S/D;ROSARIO;Rosario;S/D;S/D;II;S/D;S/D;Ninguna;S/D;Intersección;S/D;S/D;S/D;S/D;Múltiple;S/D;Colisión;S/D;S/D
2;2021;1/1/2021;Viernes;22:10:00;Ruta Nacional 11;620.0;1;Moto/Ciclomotor; ;1;1;0;0;0;0;Ruta;GOBERNADOR CRESPO;San Justo;Asfalto;Natural;XVI;S/D;S/D;S/D;No existe;Intersección;S/D;S/D;Con luz artificial;S/D;Múltiple;S/D;Colisión;S/D;S/D
3;2021;1/1/2021;Viernes;06:00:00;;0.0;2;Automóvil,Automóvil;Calle 16 bis Y Calle 5;4;2;0;2;0;0;Avenida;LAS PAREJAS;Belgrano;Asfalto;No existe;III;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
4;2021;1/1/2021;Viernes;03:00:00;;0.0;2;Moto/Ciclomotor,Automóvil;Barrios Y Bv Villa María;2;1;0;0;0;1;Calle;ARMSTRONG;Belgrano;Asfalto;Natural;III;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Reducida;Nocturna,Con luz artificial;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5;2021;1/1/2021;Viernes;02:15:00;Ruta Secundaria 71-s;5.0;1;Moto/Ciclomotor; ;2;2;0;0;0;0;Ruta;SAN GUILLERMO;San CRISTÓBAL;Asfalto;S/D;XIII;Dentro;S/D;Ninguna;S/D;Intersección;Bueno;Reducida;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;S/D;S/D
6;2021;1/1/2021;Viernes;01:15:00;;0.0;2;Moto/Ciclomotor,Automóvil;Belgrano Y La Rioja;3;1;0;2;0;0;Calle;VILLA GOBERNADOR GÁLVEZ;Rosario;Asfalto;No existe;II;Dentro;Urbana;S/D;No existe;Intersección;Bueno;Buena;Nocturna;S/D;Múltiple;S/D;Colisión;Ninguna;Faltante
7;2021;1/1/2021;Viernes;05:00:00;;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;Pellegrini Y Liniers;2;2;0;0;0;0;S/D;VILLA GOBERNADOR GÁLVEZ;Rosario;Tierra;No existe;II;S/D;S/D;Ninguna;No existe;Intersección;Deteriorada;Buena;Amanecer;Buen Tiempo;Múltiple;S/D;Colisión;Material Suelto;Faltante
8;2021;1/1/2021;Viernes;03:30:00;;0.0;2;Moto/Ciclomotor,Otros;La Paz Y 9 de Julio;2;1;0;1;0;0;S/D;HELVECIA;Garay;Arena;S/D;VII;S/D;S/D;S/D;No existe;Intersección;S/D;S/D;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;S/D;S/D
9;2021;1/1/2021;Viernes;06:30:00;Ruta Provincial 1;0.0;1;Moto/Ciclomotor; ;1;1;0;0;0;0;Ruta;HELVECIA;Garay;Asfalto;S/D;VII;S/D;Rural;S/D;S/D;Intersección;Bueno;S/D;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;S/D
10;2021;1/1/2021;Viernes;07:30:00;;0.0;1;Moto/Ciclomotor;Castellanos ;2;2;0;0;0;0;Avenida;HIPATIA;Las Colonias;Asfalto;No existe;XI;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
11;2021;1/1/2021;Viernes;10:20:00;;0.0;1;Automóvil;Maipú 1500;2;1;0;1;0;0;Calle;ESPERANZA;Las Colonias;Asfalto;S/D;XI;S/D;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Otro;S/D;Colisión;Ninguna;Horizontal
12;2021;1/1/2021;Viernes;16:05:00;;0.0;2;Moto/Ciclomotor,Automóvil;Valparaíso Y San Juan;2;1;0;1;0;0;S/D;ROSARIO;Rosario;S/D;S/D;II;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
13;2021;1/1/2021;Viernes;;;0.0;2;Bicicleta,Automóvil;Formosa Y Pedernera;2;1;0;1;0;0;S/D;CASILDA;Caseros;S/D;S/D;IV;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;Ciclista;Colisión;S/D;S/D
14;2021;1/1/2021;Viernes;;;0.0;2;Automóvil,Moto/Ciclomotor;Boulevard Villada Y Washington;3;2;0;1;0;0;S/D;CASILDA;Caseros;S/D;S/D;IV;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
15;2021;1/1/2021;Viernes;;;0.0;2;Bicicleta,Pickup/Utilitario; ;2;1;0;1;0;0;S/D;CASILDA;Caseros;S/D;S/D;IV;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;Ciclista;Colisión;S/D;S/D
16;2021;1/1/2021;Viernes;16:10:00;;0.0;2;Moto/Ciclomotor,Bicicleta;Irigoyen Y Luis Braille;2;1;0;1;0;0;S/D;SAN LORENZO;San Lorenzo;S/D;S/D;XVII;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;Ciclista;Colisión;S/D;S/D
17;2021;1/1/2021;Viernes;;;0.0;2;Taxi/Remis,Moto/Ciclomotor;Ing. White Y Lavalle;3;2;0;1;0;0;S/D;SAN LORENZO;San Lorenzo;S/D;S/D;XVII;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
18;2021;1/1/2021;Viernes;20:30:00;;0.0;2;Moto/Ciclomotor,Automóvil;Bv Pellegrini ;2;1;0;1;0;0;S/D;ROLDÁN;San Lorenzo;S/D;S/D;XVII;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
19;2021;1/1/2021;Viernes;23:00:00;;0.0;1;Moto/Ciclomotor; ;1;1;0;0;0;0;S/D;ROSARIO;Rosario;S/D;S/D;II;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
20;2021;1/1/2021;Viernes;16:30:00;Autopista Provincial Brigadier E.LÓPEZ;152.0;1;Automóvil; ;1;1;0;0;0;0;Autopista;SANTA FE;La Capital;S/D;S/D;I;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
21;2021;1/1/2021;Viernes;01:40:00;;0.0;2;Pickup/Utilitario,Moto/Ciclomotor;Avenida San Martin ;2;1;0;1;0;0;S/D;VILLA OCAMPO;General Obligado;S/D;S/D;IX;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
22;2021;1/1/2021;Viernes;16:00:00;;0.0;2;Moto/Ciclomotor,Automóvil;Calle 20 9 de Julio Y Calle 21-Gdor. Iriondo;5;1;0;4;0;0;S/D;RECONQUISTA;General Obligado;S/D;S/D;IX;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
23;2021;1/1/2021;Viernes;;;0.0;1;Automóvil;Luis Braille Y 3 de Febrero;1;1;0;0;0;0;S/D;SAN LORENZO;San Lorenzo;S/D;S/D;XVII;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
24;2021;1/1/2021;Viernes;05:30:00;;0.0;1;Pickup/Utilitario;1 DE MAYO Y LAGOMERSINO;1;1;0;0;0;0;S/D;ALDAO;San Lorenzo;S/D;S/D;XVII;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
25;2021;1/1/2021;Viernes;19:15:00;;0.0;1;Pickup/Utilitario;Calle 101 ;2;2;0;0;0;0;S/D;RECONQUISTA;General Obligado;S/D;S/D;IX;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
26;2021;1/1/2021;Viernes;05:00:00;;0.0;2;Automóvil,Peatón;Av. Filipini Y García González;9;9;0;0;0;0;S/D;VILLA GOBERNADOR GÁLVEZ;Rosario;S/D;S/D;II;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;Peatón;Colisión;S/D;S/D
27;2021;1/1/2021;Viernes;09:10:00;;0.0;2;Moto/Ciclomotor,Automóvil;12 de septiembre Y Gobernador Crespo;2;0;0;1;1;0;Calle;SANTO TOMÉ;La Capital;Asfalto;No existe;I;S/D;Urbana;Otra Señal;No existe;Intersección;S/D;Buena;Diurna;Buen Tiempo;De alcance,Múltiple;S/D;Colisión;Ninguna;S/D
28;2021;1/1/2021;Viernes;01:55:00;Autopista Nacional A007;7.0;2;Bicicleta,Automóvil;Av. Mar Argentino Y N. Rodríguez PEÑA;2;0;0;0;1;1;Autopista;SANTA FE;La Capital;Asfalto;S/D;I;S/D;Urbana;Otra Señal;S/D;Intersección;S/D;S/D;Nocturna;S/D;De alcance,Múltiple;Ciclista;Colisión;S/D;S/D
29;2021;1/1/2021;Viernes;;;0.0;2;Peatón,Otros; ;2;1;0;1;0;0;Calle;ROSARIO;Constitución;S/D;S/D;II;Dentro;Urbana;Otra Señal;S/D;Intersección;S/D;S/D;S/D;S/D;Múltiple;Peatón;Colisión;S/D;S/D
30;2021;1/1/2021;Viernes;;;0.0;1;Moto/Ciclomotor; ;1;1;0;0;0;0;Calle;ROSARIO;Constitución;S/D;S/D;II;Dentro;Urbana;Otra Señal;S/D;Intersección;S/D;S/D;S/D;S/D;Múltiple;S/D;Colisión;S/D;S/D
31;2021;1/1/2021;Viernes;07:50:00;;0.0;2;Automóvil,Moto/Ciclomotor;Belgrano Y Bv San Martin;3;1;0;1;0;0;S/D;ARMSTRONG;Constitución;Asfalto;Pavimento;III;S/D;S/D;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Vertical
32;2021;1/1/2021;Viernes;07:10:00;;0.0;1;Moto/Ciclomotor;San Martin Y Saavedra;1;0;0;0;0;0;S/D;FIGHIERA;Constitución;Hormigón;Natural;II;S/D;S/D;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
33;2021;1/1/2021;Viernes;08:50:00;;0.0;1;Automóvil;Calle 1507 ;2;0;0;1;0;0;S/D;ROSARIO;Constitución;Asfalto;No existe;II;S/D;S/D;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;S/D;S/D
34;2021;1/1/2021;Viernes;19:40:00;;0.0;2;Peatón,Otros;Amenábar Y Valparaíso;2;0;0;0;0;1;Calle;ROSARIO;Constitución;Asfalto;No existe;II;S/D;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;Peatón;Colisión;Ninguna;Faltante
35;2021;1/1/2021;Viernes;23:35:00;;0.0;2;Moto/Ciclomotor,Pickup/Utilitario;Mitre Y Ituzaingó;2;0;0;1;0;0;S/D;CALCHAQUÍ;Constitución;S/D;S/D;XIX;S/D;S/D;Otra Señal;S/D;Intersección;S/D;S/D;S/D;S/D;Múltiple;S/D;Colisión;S/D;S/D
36;2021;2/1/2021;Sabado;19:23:00;;0.0;2;Moto/Ciclomotor,Automóvil;Av. Bermúdez Y Marco Polo;4;2;0;2;0;0;Calle;ROSARIO;Rosario;S/D;S/D;II;S/D;Urbana;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;Múltiple;S/D;Colisión;S/D;S/D
37;2021;2/1/2021;Sabado;20:00:00;;0.0;2;Automóvil,Moto/Ciclomotor;J Neme Y Gral. Urquiza;2;1;0;1;0;0;Calle;SAN JUSTO;San Justo;Asfalto;No existe;XVI;S/D;Urbana;S/D;S/D;Intersección;Bueno;S/D;S/D;S/D;Múltiple;S/D;Colisión;S/D;S/D
38;2021;2/1/2021;Sabado;19:45:00;;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;Ruta pcial 2 Av. San Martin Y Entre Ríos;3;2;0;1;0;0;Avenida;MONTE VERA;La Capital;Asfalto;Ripio;I;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Atardecer;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Vertical
39;2021;2/1/2021;Sabado;16:55:00;;0.0;2;Moto/Ciclomotor,Automóvil;Francia Y Hipólito Yrigoyen;2;1;0;1;0;0;Calle;SANTA FE;La Capital;Asfalto;No existe;I;Dentro;Urbana;Ninguna;No existe;Intersección;Con baches;Buena;Diurna;S/D;Múltiple;S/D;Colisión;Ninguna;Faltante
40;2021;2/1/2021;Sabado;20:30:00;;0.0;2;Pickup/Utilitario,Moto/Ciclomotor;San Jerónimo Y Martin Zapata;2;1;0;1;0;0;Calle;SANTA FE;La Capital;Asfalto;No existe;I;S/D;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Atardecer;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;S/D
41;2021;2/1/2021;Sabado;;;0.0;2;Automóvil,Moto/Ciclomotor;El Ceibo Y Los Chingolos;3;2;0;1;0;0;Calle;PEREZ;Rosario;Asfalto;No existe;II;S/D;S/D;Ninguna;No existe;Intersección;Bueno;Buena;Atardecer;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;S/D
42;2021;2/1/2021;Sabado;22:00:00;;0.0;3;Automóvil,Moto/Ciclomotor,Moto/Ciclomotor;Av. Pte. Perón Y Gutenberg;3;2;0;1;0;0;Avenida;ROSARIO;Rosario;Asfalto;Pavimento;II;S/D;Urbana;S/D;Funciona;Intersección;Bueno;Buena;Diurna;S/D;Múltiple;S/D;Colisión;Otro;S/D
43;2021;2/1/2021;Sabado;20:00:00;;0.0;2;Moto/Ciclomotor,Automóvil;Güemes Y Maipú;3;2;0;1;0;0;Calle;MURPHY;General LÓPEZ;Asfalto;No existe;VIII;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Atardecer;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;S/D
44;2021;2/1/2021;Sabado;22:00:00;Ruta Provincial 1;62.0;1;Automóvil; ;1;1;0;0;0;0;Ruta;SANTA ROSA DE CALCHINES;Garay;Asfalto;Natural;VII;Fuera;Rural;Ninguna;No existe;Intersección;Bueno;Buena;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
45;2021;2/1/2021;Sabado;13:40:00;;0.0;2;Pickup/Utilitario,Moto/Ciclomotor;Salvador del Carril Y Lavalle;3;2;0;1;0;0;Avenida;SANTA FE;La Capital;Asfalto;No existe;I;Dentro;Urbana;S/D;No existe;Intersección;Bueno;S/D;Diurna;S/D;S/D;S/D;Colisión;Ninguna;S/D
46;2021;2/1/2021;Sabado;20:30:00;;0.0;2;Bicicleta,Automóvil;Castellanos Y Lavalle;2;1;0;1;0;0;S/D;SANTA FE;La Capital;Asfalto;No existe;I;S/D;S/D;S/D;No existe;Intersección;S/D;S/D;Nocturna;S/D;S/D;Ciclista;Colisión;S/D;S/D
47;2021;2/1/2021;Sabado;20:20:00;;0.0;2;Automóvil,Moto/Ciclomotor;Avellaneda Y Ituzaingó;2;1;0;1;0;0;Calle;SANTA FE;La Capital;Asfalto;No existe;I;Dentro;Urbana;S/D;No existe;Intersección;Bueno;S/D;Nocturna;S/D;Lateral;S/D;Colisión;S/D;S/D
48;2021;2/1/2021;Sabado;;Autopista Provincial Brigadier E.LÓPEZ;0.0;1;Moto/Ciclomotor; ;1;1;0;0;0;0;Autopista;SANTA FE;La Capital;S/D;S/D;I;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
49;2021;2/1/2021;Sabado;19:30:00;Ruta Provincial 94;0.0;1;Automóvil; ;2;2;0;0;0;0;Ruta;VILLA CAÑAS;General LÓPEZ;S/D;S/D;VIII;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
50;2021;2/1/2021;Sabado;;;0.0;2;Automóvil,Moto/Ciclomotor; ;2;1;0;1;0;0;S/D;ESPERANZA;Las Colonias;S/D;S/D;XI;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
51;2021;2/1/2021;Sabado;;;0.0;2;Automóvil,Moto/Ciclomotor; ;2;1;0;1;0;0;S/D;ESPERANZA;Las Colonias;S/D;S/D;XI;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
52;2021;2/1/2021;Sabado;;;0.0;2;Automóvil,Moto/Ciclomotor; ;2;1;0;1;0;0;S/D;ESPERANZA;Las Colonias;S/D;S/D;XI;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
53;2021;2/1/2021;Sabado;;;0.0;2;Pickup/Utilitario,Pickup/Utilitario; ;3;2;0;0;0;1;S/D;TOSTADO;9 de Julio;S/D;S/D;XII;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
54;2021;2/1/2021;Sabado;17:20:00;;0.0;2;Automóvil,Automóvil;Capitán Bermúdez Y Bme Mitre;2;1;0;1;0;0;S/D;GÁLVEZ;San JERÓNIMO;S/D;S/D;XV;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
55;2021;2/1/2021;Sabado;;;0.0;2;Ambulancia,Moto/Ciclomotor;Urquiza Y Av. San Martin;2;1;0;1;0;0;S/D;SAN LORENZO;San Lorenzo;S/D;S/D;XVII;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
56;2021;2/1/2021;Sabado;;;0.0;1;Moto/Ciclomotor;Vera Peñaloza Y Juan B Justo;1;1;0;0;0;0;S/D;RAFAELA;Castellanos;S/D;S/D;V;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
57;2021;2/1/2021;Sabado;20:00:00;;0.0;2;Automóvil,Moto/Ciclomotor;27 de setiembre ;2;1;0;1;0;0;S/D;RAFAELA;Castellanos;S/D;S/D;V;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
58;2021;2/1/2021;Sabado;;S/D Provincial 17;0.0;2;Pickup/Utilitario,Camión; ;2;1;0;1;0;0;S/D;CERES;San CRISTÓBAL;S/D;S/D;V;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
59;2021;2/1/2021;Sabado;11:50:00;;0.0;2;Moto/Ciclomotor,Pickup/Utilitario;Calle 23-Gral López Y Calle 26 - Bolívar;2;1;0;1;0;0;S/D;RECONQUISTA;General Obligado;S/D;S/D;IX;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
60;2021;2/1/2021;Sabado;;;0.0;2;Moto/Ciclomotor,Automóvil;Calle 26 - Bolívar Y Calle 65-Canada;3;2;0;1;0;0;S/D;RECONQUISTA;General Obligado;S/D;S/D;IX;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
61;2021;2/1/2021;Sabado;12:50:00;Autopista Nacional A008;8.0;1;Moto/Ciclomotor;Av. Circunvalación Y Av. Eva Perón;1;0;0;0;1;0;Autopista;ROSARIO;Rosario;Asfalto;S/D;II;S/D;Urbana;Otra Señal;S/D;Intersección;S/D;Buena;Diurna;Buen Tiempo;De alcance,Múltiple;S/D;Colisión;S/D;S/D
62;2021;2/1/2021;Sabado;;;0.0;2;Automóvil,Moto/Ciclomotor; ;2;0;0;0;1;1;S/D;SANTA FE;Constitución;S/D;S/D;I;S/D;S/D;Otra Señal;S/D;Intersección;S/D;S/D;S/D;S/D;Múltiple;S/D;Colisión;S/D;S/D
63;2021;2/1/2021;Sabado;19:20:00;;0.0;2;Moto/Ciclomotor,Pickup/Utilitario;Obrero Y Pje Alvear;2;1;0;0;0;0;Calle;LAGUNA PAIVA;Constitución;Ripio;No existe;I;S/D;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Atardecer;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
64;2021;2/1/2021;Sabado;;;0.0;1;Moto/Ciclomotor; ;1;0;0;0;0;0;Calle;ROSARIO;Rosario;S/D;S/D;II;Dentro;Urbana;Otra Señal;S/D;Intersección;S/D;S/D;S/D;S/D;Múltiple;S/D;Colisión;S/D;S/D
65;2021;2/1/2021;Sabado;;;0.0;2;Moto/Ciclomotor,Automóvil;Av. Luis Fanti Y Viamonte;3;0;0;1;0;0;S/D;RAFAELA;Castellanos;S/D;S/D;V;S/D;S/D;Otra Señal;S/D;Intersección;S/D;S/D;S/D;S/D;Múltiple;S/D;Colisión;S/D;S/D
66;2021;3/1/2021;Domingo;19:45:00;;0.0;2;Peatón,Automóvil;Sarmiento Y San Lorenzo;2;1;0;1;0;0;Calle;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;S/D;Diurna;Buen Tiempo;Múltiple;Peatón;Colisión;Ninguna;S/D
67;2021;3/1/2021;Domingo;02:00:00;;0.0;1;Moto/Ciclomotor; ;2;2;0;0;0;0;Calle;VERA Y PINTADO;San Justo;Tierra;Natural;XVI;Dentro;Rural;Ninguna;No existe;Intersección;Otro;Reducida polvo;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;Otro;Faltante
68;2021;3/1/2021;Domingo;16:40:00;;0.0;2;Automóvil,Moto/Ciclomotor;MOCOVÍES Y MADRE SELVA;4;2;0;2;0;0;S/D;COLASTINE;La Capital;Arena;No existe;I;S/D;S/D;S/D;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
69;2021;3/1/2021;Domingo;21:50:00;;0.0;2;Automóvil,Pickup/Utilitario;Garibaldi ;3;1;0;2;0;0;S/D;ALVEAR;Rosario;Ripio;No existe;II;Dentro;Rural;Ninguna;No existe;Intersección;Resbaladiza;Reducida polvo;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
70;2021;3/1/2021;Domingo;01:00:00;;0.0;1;Moto/Ciclomotor;15 de Agosto Y Rivadavia;2;2;0;0;0;0;Calle;PROGRESO;Las Colonias;Asfalto;No existe;XI;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Nocturna;Buen Tiempo;Contra objeto fijo;S/D;Colisión;Ninguna;Faltante
71;2021;3/1/2021;Domingo;19:00:00;;0.0;2;Moto/Ciclomotor,Automóvil;Rivadavia Y Marcos Avellaneda;2;1;0;1;0;0;Calle;ESPERANZA;Las Colonias;Hormigón;S/D;XI;S/D;Urbana;Ninguna;S/D;Intersección;Bueno;Buena;S/D;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Vertical
72;2021;3/1/2021;Domingo;09:00:00;;0.0;2;Otros,Otros;Av. Gral. Paz 6971;2;0;0;0;0;2;Avenida;SANTA FE;La Capital;S/D;S/D;I;Dentro;Urbana;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
73;2021;3/1/2021;Domingo;01:00:00;;0.0;2;Automóvil,Bicicleta;25 de Mayo Y Irigoyen Freyre;2;1;0;1;0;0;Calle;SANTA FE;La Capital;Asfalto;Pavimento;I;Dentro;Urbana;Policía de tránsito;No existe;Intersección;Bueno;Buena;Nocturna,Con luz artificial;Buen Tiempo;S/D;Ciclista;Colisión;Ninguna;Faltante
74;2021;3/1/2021;Domingo;03:00:00;;0.0;2;Automóvil,Moto/Ciclomotor;1ro de Mayo Y Cándido Pujato;4;3;0;1;0;0;Calle;SANTA FE;La Capital;Asfalto;Pavimento;I;Dentro;Urbana;Policía de tránsito;No existe;Intersección;Bueno;Buena;Nocturna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante
75;2021;3/1/2021;Domingo;08:05:00;Ruta Nacional 11;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;José de San Martin ;2;2;0;0;0;0;Ruta;CORONDA;San JERÓNIMO;S/D;S/D;XV;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
76;2021;3/1/2021;Domingo;19:00:00;Autopista Nacional 9;269.0;1;Otros; ;1;1;0;0;0;0;Autopista;ROSARIO;Rosario;S/D;S/D;II;S/D;S/D;Policía de tránsito;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
77;2021;3/1/2021;Domingo;10:25:00;;0.0;2;Moto/Ciclomotor,Automóvil;Calle 45-47 Paraguay 1643;2;1;0;1;0;0;S/D;RECONQUISTA;General Obligado;S/D;S/D;IX;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
78;2021;3/1/2021;Domingo;18:10:00;Ruta Nacional 33;0.0;1;Automóvil; ;1;1;0;0;0;0;Ruta;VENADO TUERTO;General LÓPEZ;S/D;S/D;VIII;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
79;2021;3/1/2021;Domingo;;Ruta Nacional 8;0.0;1;Automóvil; ;2;2;0;0;0;0;Ruta;VENADO TUERTO;General LÓPEZ;S/D;S/D;VIII;S/D;S/D;S/D;S/D;Intersección;S/D;S/D;S/D;S/D;S/D;S/D;Colisión;S/D;S/D
80;2021;3/1/2021;Domingo;06:45:00;Ruta Nacional 9;384.5;1;Moto/Ciclomotor;s/n ;2;0;0;0;1;1;Ruta;CAÑADA DE GÓMEZ;Iriondo;S/D;S/D;X;S/D;Rural;Otra Señal;S/D;Intersección;S/D;S/D;Nocturna;S/D;De alcance,Múltiple;S/D;Colisión;S/D;S/D
81;2021;3/1/2021;Domingo;06:45:00;;0.0;2;Automóvil,Moto/Ciclomotor;San Martin Y Santa Fe;3;2;0;0;0;0;Calle;FRANCK;Constitución;Asfalto;Pavimento;XI;S/D;Urbana;Otra Señal;No existe;Intersección;Bueno;S/D;S/D;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Vertical
82;2021;3/1/2021;Domingo;;;0.0;2;Automóvil,Moto/Ciclomotor;1 de Mayo Y Boulevard Villada;2;0;0;1;0;0;S/D;CASILDA;Constitución;S/D;S/D;IV;S/D;S/D;Otra Señal;S/D;Intersección;S/D;S/D;S/D;S/D;Múltiple;S/D;Colisión;S/D;S/D
